SimulationTime,CW
0.01,16
0.02,124
0.03,124
0.04,16
0.05,119
0.06,210
0.07,885
0.08,16
0.09,21
0.1,16
0.11,16
0.12,693
0.13,25
0.14,16
0.15,40
0.16,16
0.17,236
0.18,16
0.19,16
0.2,1024
0.21,32
0.22,16
0.23,16
0.24,25
0.25,16
0.26,62
0.27,16
0.28,24
0.29,16
0.3,45
0.31,16
0.32,57
0.33,139
0.34,43
0.35,16
0.36,19
0.37,16
0.38,16
0.39,16
0.4,67
0.41,16
0.42,39
0.43,49
0.44,16
0.45,69
0.46,591
0.47,750
0.48,82
0.49,16
0.5,16
0.51,98
0.52,133
0.53,16
0.54,417
0.55,16
0.56,273
0.57,61
0.58,19
0.59,16
0.6,16
0.61,16
0.62,16
0.63,16
0.64,16
0.65,77
0.66,16
0.67,16
0.68,1024
0.69,16
0.7,32
0.71,16
0.72,133
0.73,17
0.74,1024
0.75,40
0.76,16
0.77,16
0.78,16
0.79,74
0.8,17
0.81,16
0.82,16
0.83,16
0.84,16
0.85,49
0.86,16
0.87,40
0.88,16
0.89,108
0.9,16
0.91,28
0.92,16
0.93,524
0.94,16
0.95,54
0.96,16
0.97,16
0.98,16
0.99,16
1,16
1.01,16
1.02,16
1.03,27
1.04,16
1.05,384
1.06,16
1.07,16
1.08,181
1.09,16
1.1,1024
1.11,43
1.12,192
1.13,147
1.14,21
1.15,22
1.16,131
1.17,38
1.18,28
1.19,40
1.2,16
1.21,22
1.22,90
1.23,16
1.24,374
1.25,16
1.26,215
1.27,280
1.28,16
1.29,88
1.3,16
1.31,16
1.32,125
1.33,122
1.34,16
1.35,98
1.36,34
1.37,16
1.38,17
1.39,16
1.4,27
1.41,16
1.42,19
1.43,16
1.44,16
1.45,16
1.46,16
1.47,16
1.48,16
1.49,214
1.5,526
1.51,16
1.52,87
1.53,38
1.54,20
1.55,16
1.56,42
1.57,25
1.58,74
1.59,16
1.6,46
1.61,16
1.62,1024
1.63,16
1.64,24
1.65,66
1.66,57
1.67,16
1.68,90
1.69,16
1.7,140
1.71,16
1.72,21
1.73,219
1.74,22
1.75,28
1.76,16
1.77,16
1.78,16
1.79,16
1.8,24
1.81,16
1.82,16
1.83,16
1.84,28
1.85,16
1.86,16
1.87,74
1.88,16
1.89,16
1.9,16
1.91,39
1.92,90
1.93,16
1.94,16
1.95,16
1.96,16
1.97,262
1.98,16
1.99,161
2,722
2.01,37
2.02,16
2.03,23
2.04,271
2.05,16
2.06,25
2.07,16
2.08,323
2.09,31
2.1,231
2.11,16
2.12,435
2.13,16
2.14,16
2.15,25
2.16,81
2.17,77
2.18,16
2.19,46
2.2,25
2.21,75
2.22,16
2.23,16
2.24,16
2.25,1024
2.26,37
2.27,16
2.28,16
2.29,16
2.3,61
2.31,21
2.32,16
2.33,31
2.34,16
2.35,256
2.36,16
2.37,16
2.38,26
2.39,16
2.4,16
2.41,16
2.42,16
2.43,39
2.44,44
2.45,16
2.46,24
2.47,16
2.48,25
2.49,19
2.5,16
2.51,131
2.52,16
2.53,25
2.54,176
2.55,16
2.56,41
2.57,48
2.58,16
2.59,16
2.6,26
2.61,16
2.62,16
2.63,16
2.64,205
2.65,16
2.66,16
2.67,16
2.68,16
2.69,16
2.7,17
2.71,257
2.72,16
2.73,21
2.74,194
2.75,59
2.76,16
2.77,16
2.78,503
2.79,16
2.8,16
2.81,16
2.82,95
2.83,16
2.84,16
2.85,16
2.86,16
2.87,208
2.88,30
2.89,16
2.9,23
2.91,42
2.92,16
2.93,16
2.94,16
2.95,191
2.96,114
2.97,16
2.98,16
2.99,439
3,34
3.01,35
3.02,40
3.03,247
3.04,16
3.05,58
3.06,16
3.07,58
3.08,16
3.09,90
3.1,16
3.11,46
3.12,118
3.13,295
3.14,16
3.15,1024
3.16,100
3.17,16
3.18,87
3.19,167
3.2,16
3.21,16
3.22,16
3.23,19
3.24,193
3.25,19
3.26,25
3.27,16
3.28,17
3.29,16
3.3,16
3.31,16
3.32,17
3.33,20
3.34,29
3.35,16
3.36,16
3.37,265
3.38,16
3.39,54
3.4,23
3.41,18
3.42,16
3.43,94
3.44,18
3.45,16
3.46,401
3.47,74
3.48,173
3.49,16
3.5,17
3.51,21
3.52,338
3.53,16
3.54,16
3.55,17
3.56,16
3.57,62
3.58,16
3.59,16
3.6,16
3.61,78
3.62,75
3.63,16
3.64,16
3.65,768
3.66,16
3.67,113
3.68,16
3.69,16
3.7,462
3.71,26
3.72,159
3.73,59
3.74,694
3.75,16
3.76,66
3.77,22
3.78,40
3.79,30
3.8,85
3.81,83
3.82,211
3.83,114
3.84,16
3.85,16
3.86,150
3.87,16
3.88,64
3.89,16
3.9,100
3.91,35
3.92,16
3.93,16
3.94,116
3.95,18
3.96,429
3.97,46
3.98,16
3.99,16
4,16
4.01,16
4.02,16
4.03,291
4.04,75
4.05,25
4.06,16
4.07,16
4.08,17
4.09,16
4.1,16
4.11,819
4.12,93
4.13,19
4.14,16
4.15,16
4.16,26
4.17,16
4.18,16
4.19,63
4.2,26
4.21,16
4.22,130
4.23,28
4.24,921
4.25,16
