algorithm,type,count,speed
ddpg,convergence,6,38.8
ddpg,convergence,6,38.78
ddpg,convergence,6,38.66
ddpg,convergence,6,38.3
ddpg,convergence,6,38.54
ddpg,convergence,6,38.77
ddpg,convergence,15,37.72
ddpg,convergence,15,37.89
ddpg,convergence,15,38.06
ddpg,convergence,15,37.67
ddpg,convergence,30,37.66
ddpg,convergence,30,37.61
ddpg,convergence,30,37.6
ddpg,convergence,30,37.7
ddpg,convergence,50,37.24
ddpg,convergence,50,37.13
ddpg,convergence,50,37.04
ddpg,convergence,50,36.95
ddpg,convergence,50,37.12
ddpg,basic,5,38.93
ddpg,basic,5,38.84
ddpg,basic,5,38.93
ddpg,basic,5,38.91
ddpg,basic,15,38.06
ddpg,basic,15,38.07
ddpg,basic,15,37.74
ddpg,basic,15,37.97
ddpg,basic,15,37.99
ddpg,basic,30,37.84
ddpg,basic,30,37.86
ddpg,basic,30,37.85
ddpg,basic,30,37.75
ddpg,basic,30,37.92
ddpg,basic,50,37.86
ddpg,basic,50,37.79
ddpg,basic,50,37.75
dqn,convergence,6,38.72
dqn,convergence,6,38.74
dqn,convergence,15,38.0
dqn,convergence,15,37.64
dqn,convergence,15,37.86
dqn,convergence,30,37.7
dqn,convergence,30,37.53
dqn,convergence,30,37.49
dqn,convergence,50,37.44
dqn,convergence,50,37.48
dqn,convergence,50,36.73
dqn,basic,5,38.32
dqn,basic,5,38.9
dqn,basic,5,38.9
dqn,basic,15,38.03
dqn,basic,15,38.05
dqn,basic,15,38.06
dqn,basic,30,37.79
dqn,basic,30,37.79
dqn,basic,50,37.16
dqn,basic,50,37.35
static,basic,5,38.93
static,basic,15,38.0
static,basic,30,37.85
static,basic,50,37.15
static,convergence,6,38.71
static,convergence,15,37.66
static,convergence,30,37.63
static,convergence,50,37.54
beb,static,5,38.37
